"","region","Country","Overall score","Legal measure","Technical measure","Organizational measure","Capacity Development","Cooperative measure"
"67","Asia-Pacific region","Solomon Islands",7.08,3,0,0,0,4.07
"68","Asia-Pacific region","Thailand",86.5,19.11,15.57,17.64,16.84,17.34
"69","Asia-Pacific region","Tonga (Kingdom of)",20.95,2.63,3.27,1.69,1.52,11.85
"70","Asia-Pacific region","Vanuatu (Republic of)",12.88,3.69,2.18,2.95,0,4.07
"71","Commonwealth of Independent States region","Armenia (Republic of)",50.47,12.87,13.86,4.87,7.85,11.02
"72","Commonwealth of Independent States region","Belarus (Republic of)",50.57,10.36,9.5,8.31,7.88,14.51
"73","Commonwealth of Independent States region","Kyrgyz Republic",49.64,13.43,7.85,14.37,1.87,12.11
"74","Commonwealth of Independent States region","Tajikistan (Republic of)",17.1,10.22,0,5.63,1.25,0
"75","Commonwealth of Independent States region","Uzbekistan (Republic of)",71.11,19.27,12.56,10.05,15.68,13.56
"76","Europe","Albania (Republic of)",64.32,18.13,13.12,13.18,12.12,7.78
"77","Europe","Austria",93.89,19.43,20,17.64,19.13,17.7
"78","Europe","Bosnia and Herzegovina",29.44,10.41,6.56,1.02,3.12,8.33
"79","Europe","Croatia (Republic of)",92.53,20,19.54,14.8,19.89,18.29
